;Cluster;Nom_Cluster;Cluster_S;Nom_Cluster_Sol;Count_Cluster_S
20;0;ams monitoring alert node gn2532afis1 ;29;equipement joignable cloturon ;27
1;0;ams monitoring alert node gn2532afis1 ;1;service operationnel aucun maintenance curatif test correct validon bon fonctionnement service ;15
29;0;ams monitoring alert node gn2532afis1 ;47;lien bien joignable cloturon ticket ;15
12;0;ams monitoring alert node gn2532afis1 ;15;service operationnel suite reboot equipement test correct validon bon fonctionnement service ;12
5;0;ams monitoring alert node gn2532afis1 ;6;redemarrage le equipement fournir lien mpl ;9
46;1;perte connexion fgt site fr1892a ;22;service retablir suite redemarrage electrique routeur ;60
41;1;perte connexion fgt site fr1892a ;15;service operationnel suite reboot equipement test correct validon bon fonctionnement service ;26
62;1;perte connexion fgt site fr1892a ;45;redemarrage le equipement fournir lien mpl bon fonctionnement reseau etre valider client ;26
34;1;perte connexion fgt site fr1892a ;6;redemarrage le equipement fournir lien mpl ;20
32;1;perte connexion fgt site fr1892a ;3;coupure electrique ;19
77;2;airbus elancourt confirmation rmer axians spie ;13;pb regler ;92
106;2;airbus elancourt confirmation rmer axians spie ;49;service retablir bagottemer trop rapide alarme n avoir temp d etre  clearer   dans sup ;82
80;2;airbus elancourt confirmation rmer axians spie ;16;mauvais definition de un objet concentrateur suite modification sup le australie ;76
98;2;airbus elancourt confirmation rmer axians spie ;39;nom ;49
69;2;airbus elancourt confirmation rmer axians spie ;4;perimetr ;46
117;3;probleme internet ;20;site nouveau operationnelle ;12
115;3;probleme internet ;16;mauvais definition de un objet concentrateur suite modification sup le australie ;9
110;3;probleme internet ;8;defaut serveur nagios axian ;8
112;3;probleme internet ;13;pb regler ;7
127;3;probleme internet ;37;resolu ;6
134;4;ams monitoring alert node ma2843afis1 ;1;service operationnel aucun maintenance curatif test correct validon bon fonctionnement service ;52
146;4;ams monitoring alert node ma2843afis1 ;15;service operationnel suite reboot equipement test correct validon bon fonctionnement service ;47
